id,outcome,a_rank,p_rank,freshman,ed,age,female,white,award,interview
115649,0,2,2,1,1,22,1,,0,1
153936,0,3,3,1,0,19,0,,30000,0
156421,1,2,1,0,0,21,1,1,0,1
157706,1,4,3,0,0,21,1,,0,0
158771,0,2,2,1,0,18,1,0,25650,0
161422,0,3,3,0,0,23,0,,0,0
161878,0,4,3,0,0,21,1,0,0,0
162679,0,3,2,1,0,18,1,1,12200,0
163041,0,2,1,1,0,19,1,,0,1
165543,1,1,1,0,0,19,1,1,0,1
173710,0,4,3,1,0,18,0,1,26100,0
210146,1,3,3,1,1,19,1,1,0,0
216510,0,2,2,1,0,19,1,1,4200,1
216613,0,4,3,1,0,18,0,1,18000,0
217070,1,3,4,1,1,19,1,0,2025,0
218851,0,3,3,1,0,20,1,1,0,0
218969,0,3,3,1,0,19,1,1,30000,0
228066,0,2,3,1,0,19,1,0,5000,0
232085,1,3,3,0,0,19,1,,0,0
235379,0,3,3,1,0,18,1,,10000,0
235501,0,2,2,1,0,18,0,1,10000,1
245990,0,3,2,1,0,114,0,1,35325,1
248883,0,3,3,1,0,18,1,1,10000,0
252106,0,2,3,1,0,18,1,1,5000,0
261453,0,3,3,1,0,18,1,,13000,1
261954,0,2,2,1,0,20,1,1,0,0
261993,0,2,2,1,0,18,0,1,19500,0
262037,1,3,4,1,1,20,1,1,0,0
262109,0,3,1,1,0,19,1,1,0,0
262143,0,2,2,1,0,18,1,1,0,0
262185,1,2,2,1,0,18,1,1,24750,0
262312,0,2,1,1,0,18,1,0,10000,1
262415,0,3,3,1,0,18,1,0,30500,0
262534,1,3,2,1,0,18,1,1,30150,0
266302,1,2,1,1,1,19,1,1,18850,1
266353,0,2,2,1,0,18,1,1,0,0
266369,0,1,2,1,0,18,1,1,18825,1
266483,1,1,2,1,1,20,1,0,14450,0
266876,1,3,2,1,1,18,1,1,34800,1
267067,0,1,2,1,0,18,1,1,10000,0
267255,0,1,1,1,0,18,1,0,26725,1
267359,1,2,2,1,0,18,1,1,15000,1
267405,1,3,4,1,0,19,1,1,28500,0
267492,1,3,2,0,0,22,1,1,0,0
267506,1,4,3,1,0,17,0,0,0,0
267609,0,2,2,1,0,19,1,1,22800,1
268336,0,3,2,1,0,18,1,1,35300,0
268370,0,3,3,1,0,18,1,1,31800,1
268378,1,4,3,1,1,19,1,1,27000,1
268479,1,3,1,0,0,24,0,1,0,0
268487,0,3,3,1,0,20,0,0,28381,0
268531,1,2,2,1,0,18,0,0,25000,1
268585,1,3,1,1,1,18,1,1,25650,1
268602,0,3,3,1,0,19,1,1,35500,1
268675,0,2,3,1,0,18,1,1,29450,0
268742,1,3,3,1,0,18,1,0,19200,0
268774,1,3,3,1,0,18,1,1,33250,0
268796,0,2,2,1,0,114,1,,0,0
268846,0,3,2,1,0,18,0,1,0,0
268899,0,2,2,1,0,18,0,1,25000,1
268911,1,2,2,1,1,18,1,,20000,0
268920,0,2,3,1,0,18,1,1,27725,0
268938,0,2,2,1,0,18,0,1,0,0
268951,0,3,3,1,0,18,1,1,32400,1
268991,1,2,2,1,1,18,0,1,0,1
269033,0,2,3,1,0,18,1,1,0,0
269044,1,2,2,1,1,18,1,1,2250,1
269064,0,2,2,1,0,18,1,,15400,0
269677,0,2,3,1,0,18,1,,21750,0
269683,0,3,4,1,0,18,1,1,10000,0
269684,0,2,2,1,0,18,0,1,10000,0
269685,0,2,2,1,0,18,0,,13900,0
270674,1,2,3,1,0,18,1,1,32900,1
270805,1,2,2,1,0,18,1,1,27300,1
271645,0,2,2,1,0,17,1,0,20000,0
278766,0,2,2,1,0,17,1,0,0,0
280051,0,3,1,1,0,18,1,1,0,1
283169,0,2,2,1,0,18,1,0,0,0
283761,0,1,2,1,0,18,1,1,0,1
283952,0,2,2,1,0,18,1,1,0,0
285994,0,3,2,1,0,18,0,0,0,0
287333,0,3,2,1,0,18,1,,10000,0
287336,0,3,3,1,0,18,1,1,30000,0
287354,0,3,3,1,0,18,1,1,27300,1
287359,0,3,3,1,0,18,1,1,0,0
287388,0,3,2,1,0,18,1,1,33650,0
287390,0,3,2,1,0,18,0,0,6500,0
287404,0,3,3,1,0,18,1,1,0,0
287425,0,4,3,1,0,19,1,1,30000,1
287451,0,1,1,1,0,18,1,,17625,0
287454,1,3,2,1,0,19,1,0,35225,0
287481,1,3,2,0,0,38,1,0,0,1
287489,0,2,2,1,1,17,1,0,25600,1
287493,1,1,2,1,0,18,1,1,25800,1
287494,0,4,2,1,0,18,1,0,30000,0
287506,0,3,3,1,0,18,1,1,3000,0
288096,1,3,2,1,0,18,0,1,35900,1
291644,0,1,1,1,0,18,0,1,0,0
294011,0,2,2,1,0,19,1,1,0,0
294051,0,2,2,1,0,19,1,1,25000,1
294052,0,3,3,1,0,19,1,1,30000,0
294152,0,2,2,1,0,18,1,0,0,0
294225,1,4,3,1,0,17,0,1,28500,0
295047,0,2,2,1,0,18,1,1,0,0
295390,0,4,3,1,0,19,1,1,0,0
295959,0,2,1,1,0,18,1,0,26700,0
298892,0,2,2,1,0,18,1,1,0,0
301451,0,3,1,1,0,18,0,1,0,0
301628,1,2,3,1,0,18,1,1,25000,1
301782,1,3,2,1,1,19,1,1,34000,1
301785,0,1,1,1,0,19,1,1,25500,1
301892,1,3,2,1,0,18,1,1,15000,0
304134,0,3,3,1,0,18,1,0,0,0
306378,1,2,3,1,0,18,1,0,34750,0
306572,0,2,3,1,0,18,0,1,0,0
310399,1,3,2,1,1,18,1,0,34150,0
310409,0,3,3,1,0,23,1,1,28725,1
311111,1,3,2,1,0,18,1,1,29150,0
311145,0,4,2,1,0,18,1,1,3000,1
311146,0,3,4,1,0,18,0,1,0,1
311159,0,3,3,1,0,18,1,1,3000,1
311171,0,2,2,1,0,18,1,1,0,1
311177,0,4,3,1,0,18,1,1,13950,1
311178,0,1,2,1,0,19,1,1,26250,1
311205,0,3,4,1,0,19,1,1,10000,1
311274,0,3,2,1,0,18,0,0,0,0
