id,outcome,freshman,age,female,white,intl,married,hsgpa,hsrankpercent,SAT_Comb,a_rank,p_rank,interview,coaaid
190663,0,1,19,1,0,0,1,3.7,,,2,2,0,10000
214372,1,1,20,1,1,0,1,3.82,,1680,3,2,1,34700
215678,0,1,17,0,1,0,1,,,1980,3,3,0,3000
230702,0,1,18,1,1,0,1,,,1960,2,2,0,10000
262256,0,1,18,1,0,0,0,4,,1880,2,2,0,0
262516,0,1,18,1,,0,0,3.5,0.857142857,1560,3,3,0,32775
262545,0,0,21,1,0,0,0,3.93,0.901525659,,3,4,0,0
266500,1,0,19,0,0,0,0,,,,4,3,1,29700
267357,0,0,21,1,0,0,0,,,,3,2,0,15000
153978,0,1,19,1,,0,0,4.51,0.997732426,2300,1,2,0,10000
154118,0,0,20,0,1,0,0,3.54,0.627906977,,4,3,1,0
154759,0,1,18,1,1,0,1,4.33,0.973365617,2010,2,3,0,5000
157530,1,1,19,1,1,0,0,3.36,0.722580645,,3,2,1,23000
157628,1,0,21,1,,0,1,,,,2,3,0,25050
157641,0,1,18,1,1,0,1,3.64,0.960629921,1650,3,3,0,0
157645,0,1,19,1,1,0,1,,,2200,2,2,0,8000
157659,0,1,18,0,1,0,1,,,2100,2,3,0,7000
157679,1,0,21,1,1,0,1,,,1860,5,3,1,0
157727,1,0,19,1,1,0,0,3.77,,,3,3,1,26000
157742,0,1,19,1,,0,1,3.93,0.984615385,2220,1,2,0,5000
157939,1,1,19,0,1,0,1,3.7,,1750,3,3,1,26000
157944,1,1,19,0,1,0,1,,,,3,2,1,26750
157945,0,1,19,1,,0,0,3.36,,,4,3,0,0
157947,1,1,19,1,1,0,1,2.7,,,4,3,0,0
157949,0,1,19,1,1,0,1,3.68,,1810,3,2,1,0
157952,0,1,18,1,1,0,1,,,2000,2,2,0,17800
158061,0,1,18,1,1,0,1,,,1840,2,2,1,24075
158067,0,1,19,1,1,0,1,,,,3,3,1,35200
158095,1,1,19,1,1,0,0,2.8,,1920,3,3,1,21000
158097,1,1,20,1,1,0,1,,,,2,3,1,0
158114,0,1,18,1,1,0,1,,,,1,2,0,8000
158236,1,0,21,1,1,0,0,4,0.979899497,,2,3,1,24950
158237,0,1,18,1,,0,1,3.42,,1790,3,3,0,0
158243,1,1,19,0,1,0,0,3.3,0.721649485,1870,4,2,1,30900
158253,1,1,17,1,1,0,0,,,,2,2,1,29833
158284,0,1,19,0,1,0,1,5.6,0.980582524,2070,2,3,1,5000
158349,0,1,19,1,1,0,1,,,,2,3,0,5000
158394,1,1,18,0,1,0,1,4.7,0.987829615,2050,1,3,0,8000
158450,0,1,18,1,0,0,1,,,2280,1,1,1,30000
158451,0,1,19,0,1,0,1,,,2190,3,4,1,10000
158468,0,0,23,1,,0,1,3.96,0.929577465,,2,2,1,0
